CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_OV,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_OverflowVoucher_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
NC-513,121,121,110,0.909,74,47,0,12,40,81,74,74,74,1,0,22,2,4,70,47,47,47,36,0.766,10,36,11,0,0,0,0,0.0,0,103,103,103,93,0.903,16,25,77,26
NC-516,132,58,44,0.759,100,32,0,26,56,76,100,30,20,0.667,2,7,22,44,56,32,32,28,24,0.857,4,12,20,0,0,0,0,0.0,0,48,48,40,32,0.8,2,5,12,36
ND-500,850,601,601,1,647,203,0,116,385,465,647,485,485,1,0,38,85,273,374,203,203,116,116,1,31,112,91,0,0,0,0,0.0,0,480,480,480,455,0.948,97,74,198,282
NE-500,274,218,161,0.739,79,195,0,65,156,118,79,32,0,0,0,30,16,41,38,195,195,186,161,0.866,49,115,80,0,0,0,0,0.0,0,59,59,59,0,0.0,0,9,29,30
NE-501,1389,1317,1266,0.961,782,607,0,194,583,806,782,728,725,0.996,0,268,85,294,488,607,607,589,541,0.919,109,289,318,0,0,0,0,0.0,0,322,322,322,204,0.634,34,44,149,173
NE-502,951,914,707,0.774,320,631,0,196,533,418,320,320,270,0.844,0,90,49,162,158,631,631,594,437,0.736,147,371,260,0,0,0,0,0.0,0,49,49,49,49,1.0,9,4,8,41
NE-503,134,67,67,1,97,37,0,25,85,49,97,30,30,1,0,15,17,61,36,37,37,37,37,1,8,24,13,0,0,0,0,0.0,0,20,20,20,0,0.0,0,5,5,15
NE-504,252,199,176,0.884,54,198,0,54,152,100,54,26,26,1,0,7,9,19,35,198,198,173,150,0.867,45,133,65,0,0,0,0,0.0,0,52,52,52,0,0.0,0,12,12,40
NE-505,260,167,48,0.287,102,158,0,62,172,88,102,54,12,0.222,0,74,12,31,71,158,158,113,36,0.319,50,141,17,0,0,0,0,0.0,0,80,80,80,66,0.825,14,0,0,80
NE-506,230,186,80,0.43,186,44,0,41,125,105,186,146,60,0.411,0,90,34,105,81,44,44,40,20,0.5,7,20,24,0,0,0,0,0.0,0,63,63,63,0,0.0,0,7,7,56
NH-500,771,635,546,0.86,446,325,0,139,443,328,446,329,327,0.994,86,0,70,228,218,325,325,306,219,0.716,69,215,110,0,0,0,0,0.0,0,254,254,254,209,0.823,48,38,114,140
NH-501,322,307,307,1,151,167,4,69,165,157,151,136,136,1,0,26,15,54,97,167,167,167,167,1,54,111,56,4,4,4,4,1.0,4,135,135,135,96,0.711,14,28,58,77
NH-502,281,271,235,0.867,73,203,5,49,143,138,73,63,59,0.937,7,0,10,32,41,203,203,203,171,0.842,39,111,92,5,5,5,5,1.0,5,481,481,481,480,0.998,138,89,239,242
NJ-500,332,302,302,1,300,32,0,25,78,254,300,282,282,1,0,85,22,68,232,32,32,20,20,1,3,10,22,0,0,0,0,0.0,0,37,37,37,37,1.0,17,0,0,37
NJ-501,320,241,241,1,122,198,0,58,159,161,122,90,90,1,0,163,10,25,97,198,198,151,151,1,48,134,64,0,0,0,0,0.0,0,151,151,151,151,1.0,64,8,16,135
NJ-502,435,408,408,1,397,38,0,94,364,71,397,370,370,1,42,339,90,336,61,38,38,38,38,1,4,28,10,0,0,0,0,0.0,0,103,103,103,103,1.0,19,15,59,44
NJ-503,418,382,382,1,157,261,0,42,156,262,157,121,121,1,30,163,25,89,68,261,261,261,261,1,17,67,194,0,0,0,0,0.0,0,188,188,188,113,0.601,45,5,12,176
NJ-504,1915,1882,1882,1,1414,501,0,275,671,1244,1414,1414,1414,1,0,0,152,357,1057,501,501,468,468,1,123,314,187,0,0,0,0,0.0,0,401,401,401,401,1.0,102,63,158,243
NJ-505,140,66,66,1,104,36,0,45,104,36,104,38,38,1,0,79,32,68,36,36,36,28,28,1,13,36,0,0,0,0,0,0.0,0,38,38,38,38,1.0,0,5,8,30
NJ-506,445,379,379,1,249,196,0,94,248,197,249,225,225,1,0,1060,28,74,175,196,196,154,154,1,66,174,22,0,0,0,0,0.0,0,162,162,162,134,0.827,56,16,52,110
NJ-507,361,340,340,1,172,189,0,85,248,113,172,151,151,1,35,1031,34,112,60,189,189,189,189,1,51,136,53,0,0,0,0,0.0,0,21,21,21,21,1.0,5,2,4,17
NJ-508,164,106,106,1,73,91,0,70,130,34,73,48,48,1,0,459,12,39,34,91,91,58,58,1,58,91,0,0,0,0,0,0.0,0,261,261,261,261,1.0,105,16,48,213
NJ-509,297,220,160,0.727,136,141,20,48,147,150,136,99,59,0.596,0,376,27,79,57,141,141,101,81,0.802,21,68,73,20,20,20,20,1.0,20,55,55,55,25,0.455,0,15,45,10
NJ-510,128,62,48,0.774,41,87,0,41,109,19,41,14,0,0,0,455,9,35,6,87,87,48,48,1,32,74,13,0,0,0,0,0.0,0,64,64,64,50,0.781,22,14,40,24
NJ-511,349,204,204,1,260,89,0,88,225,124,260,160,160,1,0,234,54,144,116,89,89,44,44,1,34,81,8,0,0,0,0,0.0,0,400,400,400,379,0.948,244,10,20,380
NJ-512,134,134,134,1,0,134,0,15,26,108,0,0,0,0,0,0,0,0,0,134,134,134,134,1,15,26,108,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
NJ-513,217,175,130,0.743,89,128,0,35,88,129,89,74,60,0.811,0,136,25,55,34,128,128,101,70,0.693,10,33,95,0,0,0,0,0.0,0,32,32,32,32,1.0,11,0,0,32
NJ-514,561,537,537,1,284,277,0,136,399,162,284,260,260,1,119,181,67,186,98,277,277,277,277,1,69,213,64,0,0,0,0,0.0,0,447,447,447,447,1.0,135,47,144,303
NJ-515,339,307,307,1,231,108,0,75,214,125,231,205,205,1,45,894,44,114,117,108,108,102,102,1,31,100,8,0,0,0,0,0.0,0,338,338,308,308,1.0,16,56,179,159
NJ-516,80,28,14,0.5,73,7,0,28,79,1,73,28,14,0.5,0,388,27,73,0,7,7,0,.,.,1,6,1,0,0,0,0,0.0,0,22,22,22,22,1.0,11,0,0,22
NJ-518,10,0,0,.,0,10,0,2,10,0,0,0,0,0,0,298,0,0,0,10,10,0,.,.,2,10,0,0,0,0,0,0.0,0,17,17,17,14,0.824,17,0,0,17
NJ-519,93,49,49,1,64,29,0,32,85,8,64,49,49,1,0,22,26,56,8,29,29,0,.,.,6,29,0,0,0,0,0,0.0,0,8,8,8,8,1.0,8,0,0,8
NJ-520,107,95,74,0.779,89,18,0,14,49,58,89,77,56,0.727,0,0,11,31,58,18,18,18,18,1,3,18,0,0,0,0,0,0.0,0,46,46,46,5,0.109,5,0,0,46
NM-500,964,784,457,0.583,329,635,0,179,483,481,329,244,134,0.549,320,25,42,120,209,635,635,540,323,0.598,137,363,272,0,0,0,0,0.0,0,885,885,885,475,0.537,213,125,329,556
NM-501,1728,837,453,0.541,1155,573,0,141,917,811,1155,462,166,0.359,275,0,59,596,559,573,573,375,287,0.765,82,321,252,0,0,0,0,0.0,0,386,386,386,365,0.946,150,50,149,237
NV-500,3064,2924,2312,0.791,867,2172,25,334,983,2081,867,727,580,0.798,209,21,100,253,614,2172,2172,2172,1707,0.786,234,730,1442,25,25,25,25,1.0,25,1399,1399,1399,622,0.445,230,107,269,1130
NV-501,598,546,316,0.579,390,208,0,71,183,415,390,359,316,0.88,75,41,52,138,252,208,208,187,0,0,19,45,163,0,0,0,0,0.0,0,356,356,356,194,0.545,82,23,60,296
NV-502,309,155,131,0.845,222,87,0,66,230,79,222,83,83,1,0,358,33,173,49,87,87,72,48,0.667,33,57,30,0,0,0,0,0.0,0,75,75,75,75,1.0,14,11,27,48
NY-500,698,660,591,0.895,462,224,12,124,368,330,462,424,355,0.837,17,60,75,232,230,224,224,224,224,1,49,136,88,12,12,12,12,1.0,12,1496,1496,1496,1377,0.92,79,333,939,557
NY-501,297,251,195,0.777,49,248,0,21,47,250,49,15,15,1,0,14,8,15,34,248,248,236,180,0.763,13,32,216,0,0,0,0,0.0,0,302,302,302,274,0.907,25,44,63,239
NY-502,37,28,28,1,28,9,0,3,9,28,28,19,19,1,0,0,0,0,28,9,9,9,9,1,3,9,0,0,0,0,0,0.0,0,27,27,27,0,0.0,5,1,3,24
NY-503,446,395,367,0.929,309,137,0,51,133,313,309,279,251,0.9,16,171,31,85,224,137,137,116,116,1,20,48,89,0,0,0,0,0.0,0,599,599,599,596,0.995,76,90,247,352
NY-504,62,62,59,0.952,16,46,0,14,31,31,16,16,13,0.813,0,9,5,12,4,46,46,46,46,1,9,19,27,0,0,0,0,0.0,0,47,47,47,47,1.0,2,7,13,34
NY-505,785,749,743,0.992,359,426,0,63,169,616,359,323,317,0.981,0,5,19,58,301,426,426,426,426,1,44,111,315,0,0,0,0,0.0,0,1194,1194,1194,1168,0.978,139,169,432,762
NY-506,26,0,0,.,26,0,0,6,12,14,26,0,0,.,0,15,6,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
NY-507,174,154,48,0.312,146,28,0,17,36,138,146,126,28,0.222,0,214,10,20,126,28,28,28,20,0.714,7,16,12,0,0,0,0,0.0,0,357,357,357,341,0.955,40,62,144,213
NY-508,965,894,740,0.828,464,485,16,112,369,596,464,428,323,0.755,0,0,35,137,327,485,485,450,401,0.891,77,232,253,16,16,16,16,1.0,16,543,543,543,518,0.954,20,12,32,511
NY-509,60,42,0,0,24,36,0,9,18,42,24,6,0,0,0,0,9,18,6,36,36,36,0,0,0,0,36,0,0,0,0,0.0,0,11,11,11,0,0.0,0,4,9,2
NY-510,77,68,48,0.706,35,42,0,22,51,26,35,26,26,1,0,8,12,19,16,42,42,42,22,0.524,10,32,10,0,0,0,0,0.0,0,81,81,81,42,0.519,20,19,56,25
NY-511,252,232,219,0.944,122,130,0,21,48,204,122,102,100,0.98,5,8,12,30,92,130,130,130,119,0.915,9,18,112,0,0,0,0,0.0,0,195,195,195,185,0.949,62,33,78,117
NY-512,92,66,66,1,61,31,0,27,64,28,61,43,43,1,10,186,15,38,23,31,31,23,23,1,12,26,5,0,0,0,0,0.0,0,472,472,371,364,0.981,58,99,304,168
NY-513,27,18,18,1,15,12,0,3,9,18,15,6,6,1,0,48,3,9,6,12,12,12,12,1,0,0,12,0,0,0,0,0.0,0,20,20,20,20,1.0,0,4,12,8
NY-514,150,131,95,0.725,86,64,0,37,67,83,86,67,45,0.672,0,0,15,22,64,64,64,64,50,0.781,22,45,19,0,0,0,0,0.0,0,36,36,36,36,1.0,0,9,18,18
NY-516,64,55,55,1,47,17,0,8,39,25,47,38,38,1,0,45,8,39,8,17,17,17,17,1,0,0,17,0,0,0,0,0.0,0,90,90,90,90,1.0,13,15,66,24
NY-517,59,50,50,1,9,50,0,16,56,3,9,0,0,0,0,0,1,7,2,50,50,50,50,1,15,49,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
NY-518,440,373,108,0.29,94,346,0,45,108,332,94,72,54,0.75,0,6,18,45,49,346,346,301,54,0.179,27,63,283,0,0,0,0,0.0,0,456,456,456,451,0.989,18,105,254,202
NY-519,336,303,219,0.723,264,72,0,56,177,159,264,239,183,0.766,0,0,47,162,102,72,72,64,36,0.563,9,15,57,0,0,0,0,0.0,0,66,66,66,66,1.0,6,2,4,62
NY-520,15,6,6,1,15,0,0,4,9,6,15,6,6,1,0,0,4,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,37,37,37,37,1.0,18,0,0,37
NY-522,229,190,90,0.474,39,190,0,7,20,209,39,0,0,0,0,0,6,18,21,190,190,190,90,0.474,1,2,188,0,0,0,0,0.0,0,389,389,389,250,0.643,0,43,175,214
NY-523,99,52,52,1,51,48,0,15,38,61,51,33,33,1,0,85,6,12,39,48,48,19,19,1,9,26,22,0,0,0,0,0.0,0,145,145,135,133,0.985,22,25,61,84
NY-524,248,202,0,0,81,167,0,13,42,206,81,57,0,0,0,0,6,18,63,167,167,145,0,0,7,24,143,0,0,0,0,0.0,0,194,194,194,0,0.0,16,27,56,138
NY-600,51878,48562,45866,0.944,44710,7056,112,11250,34786,17092,44710,42541,40600,0.954,0,263,10580,32877,11833,7056,7056,5909,5160,0.873,670,1909,5147,112,112,112,106,0.946,112,24270,24270,23931,15087,0.63,5786,2295,7240,17030
NY-601,467,388,330,0.851,244,223,0,131,259,208,244,200,150,0.75,0,24,86,154,90,223,223,188,180,0.957,45,105,118,0,0,0,0,0.0,0,151,151,151,116,0.768,17,34,81,70
NY-602,185,172,139,0.808,139,46,0,33,108,77,139,126,93,0.738,0,197,17,62,77,46,46,46,46,1,16,46,0,0,0,0,0,0.0,0,240,240,240,240,1.0,55,50,125,115
NY-603,2241,2241,1018,0.454,1716,525,0,489,1923,318,1716,1716,513,0.299,107,0,404,1509,207,525,525,525,505,0.962,85,414,111,0,0,0,0,0.0,0,1066,1066,1066,948,0.889,75,190,705,361
NY-604,2465,2373,2340,0.986,496,1969,0,526,1969,496,496,404,371,0.918,57,0,53,113,383,1969,1969,1969,1969,1,473,1856,113,0,0,0,0,0.0,0,1366,1366,1366,1302,0.953,109,151,417,949
NY-605,701,603,224,0.371,518,183,0,180,484,217,518,503,141,0.28,13,106,133,373,145,183,183,100,83,0.83,47,111,72,0,0,0,0,0.0,0,777,777,765,682,0.892,29,186,505,272
NY-606,139,99,90,0.909,61,78,0,40,100,39,61,46,46,1,0,0,20,55,6,78,78,53,44,0.83,20,45,33,0,0,0,0,0.0,0,642,642,642,303,0.472,69,59,110,532
NY-607,28,10,10,1,28,0,0,3,9,19,28,10,10,1,0,220,3,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,54,54,54,54,1.0,12,9,18,36
NY-608,99,90,90,1,69,30,0,10,36,63,69,60,60,1,0,234,10,36,33,30,30,30,30,1,0,0,30,0,0,0,0,0.0,0,191,191,191,158,0.827,33,39,110,81
OH-500,1057,908,908,1,643,414,0,67,360,697,643,578,578,1,30,5,15,205,438,414,414,330,330,1,52,155,259,0,0,0,0,0.0,0,1373,1373,1373,1373,1.0,159,163,458,915
OH-501,985,923,747,0.809,523,450,12,129,370,615,523,495,370,0.747,0,95,66,172,351,450,450,416,365,0.877,63,198,252,12,12,12,12,1.0,12,765,765,765,763,0.997,206,149,332,433
OH-502,2120,2075,1636,0.788,1110,974,36,201,543,1577,1110,1065,753,0.707,0,150,97,266,844,974,974,974,847,0.87,104,277,697,36,36,36,36,1.0,36,4791,4791,4791,2101,0.439,1326,780,1989,2802
OH-503,942,908,878,0.967,804,138,0,152,305,637,804,770,754,0.979,150,10,134,267,537,138,138,138,124,0.899,18,38,100,0,0,0,0,0.0,0,1685,1685,1685,1602,0.951,485,194,388,1297
OH-504,290,290,268,0.924,176,113,1,49,164,126,176,176,154,0.875,0,0,26,83,93,113,113,113,113,1,23,81,32,1,1,1,1,1.0,1,251,251,251,251,1.0,66,48,161,90
OH-505,790,746,716,0.96,514,251,25,104,280,510,514,478,478,1,0,81,50,150,364,251,251,243,213,0.877,54,130,121,25,25,25,25,1.0,25,702,702,702,694,0.989,212,104,243,459
OH-506,649,541,466,0.861,294,345,10,97,289,360,294,248,245,0.988,0,53,41,117,177,345,345,283,211,0.746,56,172,173,10,10,10,10,1.0,10,237,237,237,237,1.0,67,22,62,175
OH-507,4044,3291,2713,0.824,2267,1777,0,653,2067,1977,2267,1637,1323,0.808,115,69,213,790,1477,1777,1777,1654,1390,0.84,440,1277,500,0,0,0,0,0.0,0,1334,1334,1334,1209,0.906,98,156,437,897
OH-508,447,402,351,0.873,244,173,30,90,256,191,244,199,157,0.789,0,28,42,123,121,173,173,173,164,0.948,48,133,40,30,30,30,30,1.0,30,351,351,351,308,0.877,130,45,146,205
OK-500,292,204,153,0.75,204,88,0,52,98,194,204,136,85,0.625,0,5,24,67,137,88,88,68,68,1,28,31,57,0,0,0,0,0.0,0,2,2,2,2,1.0,2,0,0,2
OK-501,843,728,650,0.893,523,270,50,84,269,574,523,437,437,1,0,153,57,172,351,270,270,241,163,0.676,27,97,173,50,50,50,50,1.0,50,151,151,151,147,0.974,112,0,0,151
OK-502,1073,982,529,0.539,785,288,0,87,256,817,785,735,370,0.503,0,125,38,119,666,288,288,247,159,0.644,49,137,151,0,0,0,0,0.0,0,272,272,261,210,0.805,107,29,86,186
OK-503,187,121,65,0.537,117,70,0,36,113,74,117,66,10,0.152,0,0,18,62,55,70,70,55,55,1,18,51,19,0,0,0,0,0.0,0,51,51,51,34,0.667,32,7,19,32
OK-504,231,207,160,0.773,77,154,0,40,135,96,77,53,18,0.34,0,0,13,36,41,154,154,154,142,0.922,27,99,55,0,0,0,0,0.0,0,29,29,29,29,1.0,0,6,15,14
OK-505,402,307,156,0.508,307,95,0,50,158,244,307,220,69,0.314,0,0,41,128,179,95,95,87,87,1,9,30,65,0,0,0,0,0.0,0,42,42,25,15,0.6,24,4,14,28
OK-506,172,172,114,0.663,116,56,0,35,81,91,116,116,62,0.534,0,12,19,39,77,56,56,56,52,0.929,16,42,14,0,0,0,0,0.0,0,6,6,6,0,0.0,1,0,0,6
OK-507,433,211,33,0.156,389,44,0,73,214,219,389,175,22,0.126,0,37,65,189,200,44,44,36,11,0.306,8,25,19,0,0,0,0,0.0,0,55,55,55,55,1.0,0,15,50,5
OR-500,961,912,532,0.583,537,396,28,155,490,471,537,516,136,0.264,0,178,39,139,398,396,396,368,368,1,116,351,45,28,28,28,28,1.0,28,198,198,198,198,1.0,99,28,66,132
OR-501,2422,2142,1789,0.835,559,1863,0,386,1173,1249,559,466,306,0.657,290,15,54,147,412,1863,1863,1676,1483,0.885,332,1026,837,0,0,0,0,0.0,0,2523,2523,2523,1716,0.68,563,338,979,1544
OR-502,718,684,49,0.072,247,471,0,18,73,645,247,213,0,0,12,0,12,51,196,471,471,471,49,0.104,6,22,449,0,0,0,0,0.0,0,686,686,686,71,0.103,97,105,224,462
OR-503,372,345,233,0.675,206,166,0,69,208,164,206,179,108,0.603,0,39,28,82,124,166,166,166,125,0.753,41,126,40,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
OR-504,803,772,387,0.501,228,570,5,113,392,411,228,199,0,0,0,82,11,49,179,570,570,568,382,0.673,102,343,227,5,5,5,5,1.0,5,282,282,282,42,0.149,4,14,36,246
OR-505,1940,1675,402,0.24,1099,841,0,351,915,1025,1099,855,45,0.053,67,162,166,447,652,841,841,820,357,0.435,185,468,373,0,0,0,0,0.0,0,632,632,632,100,0.158,33,172,438,194
OR-506,276,248,248,1,102,164,10,70,203,73,102,74,74,1,0,3,22,91,11,164,164,164,164,1,48,112,52,10,10,10,10,1.0,10,329,329,329,329,1.0,47,43,126,203
OR-507,148,101,101,1,48,100,0,48,130,18,48,14,14,1,0,0,16,44,4,100,100,87,87,1,32,86,14,0,0,0,0,0.0,0,186,186,186,186,1.0,15,34,95,91
PA-500,6163,5978,5019,0.84,3767,2326,70,1056,3433,2730,3767,3667,2891,0.788,319,108,494,1552,2215,2326,2326,2241,2058,0.918,562,1881,445,70,70,70,70,1.0,70,4204,4204,4204,3730,0.887,850,817,2435,1769
PA-501,369,351,342,0.974,187,157,25,68,187,182,187,169,164,0.97,32,22,28,82,105,157,157,157,153,0.975,40,105,52,25,25,25,25,1.0,25,119,119,119,105,0.882,42,11,30,89
PA-502,722,678,559,0.824,361,361,0,159,477,245,361,347,276,0.795,0,66,69,193,168,361,361,331,283,0.855,90,284,77,0,0,0,0,0.0,0,264,264,264,230,0.871,36,35,116,148
PA-503,220,173,172,0.994,102,118,0,27,80,140,102,80,80,1,0,105,5,16,86,118,118,93,92,0.989,22,64,54,0,0,0,0,0.0,0,152,152,152,141,0.928,21,31,80,72
PA-504,461,341,277,0.812,195,266,0,103,350,111,195,176,133,0.756,30,15,35,118,77,266,266,165,144,0.873,68,232,34,0,0,0,0,0.0,0,144,144,144,144,1.0,47,22,66,78
PA-505,483,393,248,0.631,264,211,8,70,203,280,264,255,110,0.431,22,0,19,49,215,211,211,130,130,1,51,154,57,8,8,8,8,1.0,8,191,191,191,191,1.0,14,20,58,133
PA-506,485,407,347,0.853,192,293,0,73,252,233,192,166,106,0.639,62,0,15,65,127,293,293,241,241,1,58,187,106,0,0,0,0,0.0,0,272,272,272,242,0.89,65,37,127,145
PA-507,1546,1085,863,0.795,833,713,0,275,943,603,833,503,359,0.714,30,42,113,435,398,713,713,582,504,0.866,162,508,205,0,0,0,0,0.0,0,426,426,426,379,0.89,68,23,60,366
PA-508,229,208,208,1,53,176,0,54,152,77,53,41,41,1,24,7,9,23,30,176,176,167,167,1,45,129,47,0,0,0,0,0.0,0,45,45,45,45,1.0,45,0,0,45
PA-509,892,734,550,0.749,328,564,0,217,646,246,328,221,182,0.824,25,36,54,174,154,564,564,513,368,0.717,163,472,92,0,0,0,0,0.0,0,337,337,337,286,0.849,76,35,91,246
PA-510,617,556,495,0.89,246,371,0,121,353,264,246,208,196,0.942,62,14,32,109,137,371,371,348,299,0.859,89,244,127,0,0,0,0,0.0,0,100,100,100,85,0.85,21,17,44,56
PA-511,468,455,438,0.963,99,369,0,114,343,125,99,86,86,1,0,15,25,69,30,369,369,369,352,0.954,89,274,95,0,0,0,0,0.0,0,44,44,44,36,0.818,22,0,0,44
PA-600,1340,1217,1081,0.888,387,915,38,264,724,616,387,309,249,0.806,100,24,52,172,215,915,915,870,794,0.913,212,552,363,38,38,38,38,1.0,38,916,916,916,868,0.948,153,190,608,308
PA-601,733,594,573,0.965,303,398,32,105,388,345,303,214,196,0.916,0,30,29,142,161,398,398,348,345,0.991,76,246,152,32,32,32,32,1.0,32,365,365,314,253,0.806,46,67,182,183
PA-602,482,309,106,0.343,298,184,0,85,264,218,298,167,29,0.174,0,46,49,161,137,184,184,142,77,0.542,36,103,81,0,0,0,0,0.0,0,300,300,269,262,0.974,53,28,72,228
PA-603,130,95,95,1,43,87,0,18,60,70,43,18,18,1,0,0,9,31,12,87,87,77,77,1,9,29,58,0,0,0,0,0.0,0,128,128,128,128,1.0,5,14,39,89
PA-605,405,339,334,0.985,231,174,0,73,203,202,231,193,193,1,150,152,23,91,140,174,174,146,141,0.966,50,112,62,0,0,0,0,0.0,0,293,293,293,286,0.976,53,28,65,228
PR-502,1387,1152,968,0.84,337,1028,22,116,281,1106,337,218,213,0.977,0,0,30,103,234,1028,1028,912,733,0.804,86,178,850,22,22,22,22,1.0,22,927,927,868,393,0.453,97,128,269,658
PR-503,632,483,483,1,276,346,10,54,200,432,276,183,183,1,0,0,6,93,183,346,346,290,290,1,48,107,239,10,10,10,10,1.0,10,329,329,329,329,1.0,151,41,101,228
RI-500,1215,1092,975,0.893,771,427,17,215,574,641,771,676,610,0.902,6,23,105,319,452,427,427,399,348,0.872,110,255,172,17,17,17,17,1.0,17,1321,1321,1321,1114,0.843,343,216,644,677
SC-500,503,444,251,0.565,248,255,0,56,207,296,248,189,151,0.799,0,20,28,141,107,255,255,255,100,0.392,28,66,189,0,0,0,0,0.0,0,178,178,178,90,0.506,44,13,26,152
SC-501,1573,1376,1062,0.772,707,854,12,163,716,857,707,519,450,0.867,213,242,35,332,375,854,854,845,600,0.71,128,384,470,12,12,12,12,1.0,12,178,178,178,128,0.719,107,8,20,158
SC-502,834,707,582,0.823,316,518,0,132,363,471,316,189,143,0.757,220,68,50,156,160,518,518,518,439,0.847,82,207,311,0,0,0,0,0.0,0,498,498,398,398,1.0,52,108,283,215
SC-503,598,492,441,0.896,271,327,0,84,281,317,271,177,146,0.825,0,84,43,129,142,327,327,315,295,0.937,41,152,175,0,0,0,0,0.0,0,446,446,446,413,0.926,61,75,244,202
SD-500,1379,1000,348,0.348,716,663,0,224,643,736,716,337,157,0.466,0,42,139,405,311,663,663,663,191,0.288,85,238,425,0,0,0,0,0.0,0,257,257,257,221,0.86,145,25,85,172
TN-500,335,300,300,1,185,150,0,60,151,184,185,185,185,1,0,0,17,40,145,150,150,115,115,1,43,111,39,0,0,0,0,0.0,0,289,289,270,252,0.933,114,39,108,181
TN-501,1685,1596,1419,0.889,425,1260,0,229,798,887,425,398,329,0.827,0,150,47,168,257,1260,1260,1198,1090,0.91,182,630,630,0,0,0,0,0.0,0,326,326,326,294,0.902,147,29,86,240
TN-502,865,848,684,0.807,414,451,0,56,175,690,414,397,392,0.987,0,156,21,64,350,451,451,451,292,0.647,35,111,340,0,0,0,0,0.0,0,654,654,654,583,0.891,186,130,301,353
TN-503,281,196,138,0.704,124,157,0,18,70,211,124,53,34,0.642,11,29,10,40,84,157,157,143,104,0.727,8,30,127,0,0,0,0,0.0,0,124,124,124,124,1.0,24,12,48,76
TN-504,1661,1533,482,0.314,1023,622,16,116,340,1321,1023,956,78,0.082,226,0,52,129,894,622,622,561,388,0.692,64,211,411,16,16,16,16,1.0,16,950,950,950,855,0.9,148,109,285,665
TN-506,248,180,82,0.456,188,60,0,35,112,136,188,124,26,0.21,0,0,24,75,113,60,60,56,56,1,11,37,23,0,0,0,0,0.0,0,64,64,64,64,1.0,15,31,49,15
TN-507,292,243,118,0.486,60,224,8,37,116,176,60,41,29,0.707,25,17,20,48,12,224,224,194,89,0.459,17,68,156,8,8,8,0,0.0,8,201,201,201,191,0.95,46,19,43,158
TN-509,389,334,202,0.605,287,102,0,16,73,316,287,232,127,0.547,0,0,6,43,244,102,102,102,75,0.735,10,30,72,0,0,0,0,0.0,0,174,174,174,174,1.0,117,19,57,117
TN-510,164,108,34,0.315,156,8,0,19,97,67,156,108,34,0.315,0,10,18,92,64,8,8,0,0,.,1,5,3,0,0,0,0,0.0,0,61,61,61,61,1.0,19,11,25,36
TN-512,282,153,61,0.399,258,24,0,53,142,140,258,129,53,0.411,0,535,53,142,116,24,24,24,8,0.333,0,0,24,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0
TX-500,1755,1521,1178,0.774,785,926,44,326,1021,734,785,635,482,0.759,121,130,115,372,413,926,926,842,652,0.774,211,649,277,44,44,44,44,1.0,44,839,839,839,228,0.272,46,218,634,205
TX-501,857,792,343,0.433,504,353,0,91,291,566,504,439,99,0.226,90,0,75,181,323,353,353,353,244,0.691,16,110,243,0,0,0,0,0.0,0,67,67,67,15,0.224,20,0,0,67
TX-503,1220,999,952,0.953,731,472,17,199,581,639,731,645,645,1,12,93,88,248,483,472,472,337,290,0.861,111,333,139,17,17,17,17,1.0,17,540,540,540,540,1.0,145,40,99,441
