CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_overflow,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_ES_Beds_for_Households_with_only_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_TH_Beds_for_Households_with_only_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_SH_Beds_for_Households_with_only_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children,Total_PSH_Beds_for_Households_with_only_Children
HI-501,3283,3182,3159,0.993,1114,2144,25,610,2271,1012,0,1114,1031,1008,0.978,0,61,156,579,535,0,2144,2144,2126,2126,1,454,1692,452,.,25,25,25,25,1,25,0,982,982,982,964,0.982,512,47,125,857,0
IA-500,314,238,238,1,148,166,0,57,161,153,0,148,117,117,1,0,0,14,40,108,0,166,166,121,121,1,43,121,45,0,0,0,0,0,0,0,0,46,46,46,21,0.457,20,3,8,38,0
IA-501,2406,1858,1444,0.777,1014,1392,0,454,1544,852,10,1014,647,424,0.655,45,27,151,499,515,0,1392,1392,1211,1020,0.842,303,1045,337,10,0,0,0,0,0,0,0,437,437,437,316,0.723,100,69,229,208,0
IA-502,907,836,814,0.974,378,529,0,140,385,522,0,378,320,320,1,0,0,43,145,233,0,529,529,516,494,0.957,97,240,289,0,0,0,0,0,0,0,0,563,563,563,420,0.746,75,88,254,309,0
ID-500,707,607,269,0.443,455,252,0,86,250,445,12,455,399,154,0.386,0,119,56,149,294,12,252,252,208,115,0.553,30,101,151,.,0,0,0,0,0,0,0,277,277,277,162,0.585,130,34,108,169,0
ID-501,1088,831,643,0.774,472,616,0,217,698,386,4,472,233,172,0.738,0,6,93,258,210,4,616,616,598,471,0.788,124,440,176,0,0,0,0,0,0,0,0,393,393,384,359,0.935,128,69,208,185,0
IL-500,185,153,124,0.81,14,171,0,27,101,84,0,14,14,14,1,40,14,2,6,8,0,171,171,139,110,0.791,25,95,76,0,0,0,0,0,0,0,0,26,26,26,26,1.0,1,0,0,26,0
IL-501,570,523,376,0.719,254,316,0,84,208,346,16,254,209,195,0.933,0,30,45,118,131,5,316,316,314,181,0.576,39,90,215,11,0,0,0,0,0,0,0,342,342,342,208,0.608,62,33,104,238,0
IL-502,368,284,222,0.782,176,177,15,65,230,138,0,176,141,79,0.56,132,32,29,94,82,0,177,177,128,128,1,36,136,41,.,15,15,15,15,1,15,0,216,216,216,87,0.403,45,10,26,190,0
IL-503,232,212,145,0.684,20,212,0,33,111,121,0,20,10,0,0,8,0,6,14,6,0,212,212,202,145,0.718,27,97,115,.,0,0,0,0,0,0,0,89,89,89,85,0.955,47,16,39,50,0
IL-504,223,187,167,0.893,99,124,0,61,198,25,0,99,63,63,1,0,6,28,77,22,0,124,124,124,104,0.839,33,121,3,.,0,0,0,0,0,0,0,126,126,126,126,1.0,38,15,43,83,0
IL-506,396,352,352,1,162,234,0,67,220,176,0,162,142,142,1,0,275,14,60,102,0,234,234,210,210,1,53,160,74,0,0,0,0,0,0,0,0,289,289,289,289,1.0,160,57,191,98,0
IL-507,652,575,339,0.59,408,244,0,55,223,368,61,408,357,160,0.448,0,0,26,79,294,35,244,244,218,179,0.821,29,144,74,26,0,0,0,0,0,0,0,217,217,217,195,0.899,111,23,49,168,0
IL-508,250,204,200,0.98,99,151,0,50,187,63,0,99,53,49,0.925,0,8,30,89,10,0,151,151,151,151,1,20,98,53,.,0,0,0,0,0,0,0,253,253,253,253,1.0,46,48,125,128,0
IL-509,116,86,86,1,54,62,0,23,76,40,0,54,54,54,1,0,6,1,14,40,0,62,62,32,32,1,22,62,0,0,0,0,0,0,0,0,0,84,84,84,59,0.702,26,12,16,68,0
IL-510,6056,5787,4113,0.711,2523,3492,41,812,2823,3169,64,2523,2483,1188,0.478,0,500,61,396,2123,4,3492,3492,3263,2884,0.884,751,2427,1005,60,41,41,41,41,1,41,0,8177,8177,8177,6359,0.778,1780,976,2599,5578,0
IL-511,851,675,664,0.984,198,638,15,181,543,298,10,198,94,90,0.957,343,7,35,99,93,6,638,638,566,559,0.988,146,444,190,4,15,15,15,15,1,15,0,625,625,625,380,0.608,167,95,294,331,0
IL-512,552,501,363,0.725,358,170,24,59,183,364,5,358,307,213,0.694,20,106,26,71,282,5,170,170,170,126,0.741,33,112,58,0,24,24,24,24,1,24,0,106,106,106,106,1.0,32,13,38,59,9
IL-513,243,211,211,1,137,106,0,31,102,141,0,137,105,105,1,50,0,9,36,101,0,106,106,106,106,1,22,66,40,.,0,0,0,0,0,0,0,149,149,149,126,0.846,55,63,85,61,3
IL-514,649,586,586,1,162,487,0,129,394,247,8,162,121,121,1,46,13,17,46,108,8,487,487,465,465,1,112,348,139,.,0,0,0,0,0,0,0,300,300,300,300,1.0,125,50,162,138,0
IL-515,195,157,86,0.548,101,94,0,47,151,44,0,101,78,24,0.308,0,0,19,62,39,0,94,94,79,62,0.785,28,89,5,.,0,0,0,0,0,0,0,31,31,31,31,1.0,6,9,24,7,0
IL-516,237,207,146,0.705,127,103,7,45,126,105,6,127,97,52,0.536,0,20,12,53,68,6,103,103,103,87,0.845,33,73,30,0,7,7,7,7,1,7,0,109,109,109,105,0.963,36,22,62,47,0
IL-517,449,342,342,1,316,133,0,55,169,280,0,316,248,248,1,0,18,26,84,232,0,133,133,94,94,1,29,85,48,.,0,0,0,0,0,0,0,96,96,96,96,1.0,68,2,5,91,0
IL-518,333,245,164,0.669,150,183,0,59,193,137,3,150,91,51,0.56,32,0,18,66,83,1,183,183,154,113,0.734,41,127,54,2,0,0,0,0,0,0,0,30,30,30,22,0.733,14,0,0,30,0
IL-519,204,169,91,0.538,71,133,0,35,128,76,0,71,39,14,0.359,0,110,5,25,46,0,133,133,130,77,0.592,30,103,30,.,0,0,0,0,0,0,0,53,53,53,53,1.0,1,11,53,0,0
IL-520,485,372,258,0.694,360,125,0,90,265,220,0,360,263,196,0.745,0,15,65,189,171,0,125,125,109,62,0.569,25,76,49,.,0,0,0,0,0,0,0,199,199,199,160,0.804,7,40,124,75,0
IN-500,602,474,442,0.932,162,440,0,89,292,310,0,162,90,78,0.867,78,0,24,66,96,0,440,440,384,364,0.948,65,226,214,0,0,0,0,0,0,0,0,167,167,159,157,0.987,22,9,26,141,0
IN-502,4955,3881,2098,0.541,2976,1979,0,891,2806,2116,33,2976,2229,990,0.444,87,259,430,1450,1499,27,1979,1979,1652,1108,0.671,461,1356,617,6,0,0,0,0,0,0,0,1286,1286,1286,1125,0.875,221,144,458,828,0
IN-503,1832,1589,890,0.56,920,887,25,224,823,978,31,920,796,396,0.497,213,62,131,497,392,31,887,887,768,469,0.611,93,326,561,.,25,25,25,25,1,25,0,1152,1152,1152,893,0.775,245,146,584,568,0
KS-501,195,173,118,0.682,27,168,0,21,88,96,11,27,27,27,1,0,0,0,0,27,0,168,168,146,91,0.623,21,88,69,11,0,0,0,0,0,0,0,76,76,76,17,0.224,23,0,0,76,0
KS-502,561,468,268,0.573,364,177,20,83,266,295,0,364,300,100,0.333,100,0,38,121,243,0,177,177,148,148,1,45,145,32,0,20,20,20,20,1,20,0,481,481,481,350,0.728,191,58,177,304,0
KS-503,487,471,75,0.159,388,99,0,39,172,315,0,388,372,0,0,0,75,27,104,284,0,99,99,99,75,0.758,12,68,31,.,0,0,0,0,0,0,0,357,357,357,262,0.734,103,17,67,290,0
KS-505,252,163,163,1,100,152,0,65,232,20,0,100,55,55,1,0,0,29,92,8,0,152,152,108,108,1,36,140,12,.,0,0,0,0,0,0,0,34,34,34,18,0.529,7,2,6,28,0
KS-507,1590,1217,596,0.49,848,742,0,240,790,800,0,848,500,333,0.666,15,58,114,430,418,0,742,742,717,263,0.367,126,360,382,.,0,0,0,0,0,0,0,255,255,255,255,1.0,90,20,50,205,0
KY-500,1923,1421,1080,0.76,1288,635,0,325,999,866,58,1288,931,605,0.65,32,58,167,531,713,44,635,635,490,475,0.969,158,468,153,14,0,0,0,0,0,0,0,1509,1509,1304,1020,0.782,172,353,959,550,0
KY-501,1362,1187,1166,0.982,623,729,10,156,487,855,20,623,545,544,0.998,0,81,49,159,444,20,729,729,632,612,0.968,107,328,401,0,10,10,10,10,1,10,0,1509,1509,1509,1194,0.791,137,194,673,836,0
KY-502,1262,1230,743,0.604,313,949,0,190,483,769,10,313,281,172,0.612,0,0,15,30,273,10,949,949,949,571,0.602,175,453,496,.,0,0,0,0,0,0,0,489,489,406,198,0.488,287,52,147,342,0
LA-500,589,469,469,1,252,337,0,95,261,328,0,252,148,148,1,0,9,33,106,146,0,337,337,321,321,1,62,155,182,0,0,0,0,0,0,0,0,139,139,122,121,0.992,50,21,71,68,0
LA-501,202,134,44,0.328,150,52,0,22,119,83,0,150,82,20,0.244,0,1,18,111,39,0,52,52,52,24,0.462,4,8,44,0,0,0,0,0,0,0,0,118,118,118,67,0.568,0,28,48,70,0
LA-502,979,841,811,0.964,364,605,10,111,464,503,12,364,226,208,0.92,0,15,36,161,203,0,605,605,605,593,0.98,75,303,290,12,10,10,10,10,1,10,0,333,333,333,218,0.655,107,9,28,305,0
LA-503,1526,1482,1169,0.789,669,842,15,221,636,890,0,669,654,509,0.778,59,0,43,125,544,0,842,842,813,645,0.793,178,511,331,.,15,15,15,15,1,15,0,2116,2116,2116,1873,0.885,623,185,589,1527,0
LA-504,835,775,490,0.632,205,630,0,46,144,691,0,205,145,124,0.855,0,100,32,109,96,0,630,630,630,366,0.581,14,35,595,.,0,0,0,0,0,0,0,328,328,328,328,1.0,29,41,97,231,0
LA-505,262,148,52,0.351,128,122,12,62,169,82,11,128,94,30,0.319,0,16,20,59,58,11,122,122,42,10,0.238,42,110,12,.,12,12,12,12,1,12,0,123,123,123,86,0.699,30,25,42,81,0
LA-506,303,222,112,0.505,98,205,0,46,148,155,0,98,73,13,0.178,0,3,11,31,67,0,205,205,149,99,0.664,35,117,88,0,0,0,0,0,0,0,0,253,253,245,245,1.0,63,43,105,148,0
LA-507,213,177,56,0.316,96,117,0,9,58,155,0,96,60,0,0,0,12,5,30,66,0,117,117,117,56,0.479,4,28,89,.,0,0,0,0,0,0,0,177,177,177,58,0.328,0,26,77,100,0
LA-508,132,132,132,1,63,69,0,26,65,67,0,63,63,63,1,0,0,13,32,31,0,69,69,69,69,1,13,33,36,0,0,0,0,0,0,0,0,204,204,184,184,1.0,204,28,98,106,0
MA-500,5698,5546,4879,0.88,4222,1470,6,1095,3323,2352,23,4222,4134,3698,0.895,90,76,951,2927,1295,0,1470,1470,1406,1175,0.836,144,396,1051,23,6,6,6,6,1,6,0,5232,5232,5232,3490,0.667,2345,437,1177,4055,0
MA-502,496,496,473,0.954,410,86,0,112,412,84,0,410,410,410,1,7,0,88,368,42,0,86,86,86,63,0.733,24,44,42,0,0,0,0,0,0,0,0,258,258,248,248,1.0,28,29,64,194,0
MA-503,345,297,237,0.798,243,102,0,61,156,189,0,243,195,195,1,0,1,61,156,87,0,102,102,102,42,0.412,.,.,102,.,0,0,0,0,0,0,0,277,277,277,244,0.881,104,4,12,265,0
MA-504,1423,1194,1025,0.858,1041,370,12,333,1104,319,0,1041,966,858,0.888,35,1048,240,849,192,0,370,370,216,155,0.718,93,255,115,.,12,12,12,12,1,12,0,592,592,592,528,0.892,280,50,155,437,0
MA-505,426,398,363,0.912,136,290,0,46,153,273,0,136,108,99,0.917,0,0,28,97,39,0,290,290,290,264,0.91,18,56,234,0,0,0,0,0,0,0,0,338,338,319,277,0.868,39,73,222,116,0
MA-506,1491,1430,1412,0.987,895,583,13,313,970,488,33,895,874,857,0.981,0,198,221,711,157,27,583,583,543,542,0.998,92,259,318,6,13,13,13,13,1,13,0,881,881,881,698,0.792,151,127,316,565,0
MA-507,602,561,544,0.97,219,383,0,60,199,403,0,219,178,178,1,42,117,41,145,74,0,383,383,383,366,0.956,19,54,329,.,0,0,0,0,0,0,0,601,601,601,397,0.661,203,47,132,469,0
MA-508,523,441,393,0.891,406,117,0,121,379,144,0,406,388,380,0.979,35,0,93,306,100,0,117,117,53,13,0.245,28,73,44,0,0,0,0,0,0,0,0,103,103,90,24,0.267,36,21,59,44,0
MA-509,398,369,313,0.848,233,165,0,48,128,270,0,233,219,183,0.836,24,4,26,68,165,0,165,165,150,130,0.867,22,60,105,.,0,0,0,0,0,0,0,406,406,392,215,0.548,116,14,37,369,0
MA-510,568,502,502,1,444,113,11,149,414,154,0,444,417,417,1,24,395,113,340,104,0,113,113,74,74,1,36,74,39,.,11,11,11,11,1,11,0,375,375,368,218,0.592,99,39,110,265,0
MA-511,202,186,186,1,202,0,0,29,83,119,0,202,186,186,1,0,171,29,83,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,327,327,289,0.884,90,52,146,181,.
MA-512,252,226,91,0.403,84,156,12,56,171,81,0,84,84,47,0.56,0,3,7,30,54,0,156,156,130,33,0.254,49,141,15,.,12,12,12,11,0.917,12,0,224,224,214,71,0.332,82,24,60,164,0
MA-513,119,119,119,1,92,27,0,38,108,11,0,92,92,92,1,0,225,32,92,0,0,27,27,27,27,1,6,16,11,.,0,0,0,0,0,0,0,150,150,150,150,1.0,35,25,77,73,0
MA-515,283,263,193,0.734,166,117,0,58,201,82,0,166,153,122,0.797,15,6,33,134,32,0,117,117,110,71,0.645,25,67,50,.,0,0,0,0,0,0,0,136,136,136,131,0.963,34,21,61,75,0
MA-516,769,667,623,0.934,518,251,0,216,567,202,0,518,494,450,0.911,0,415,155,396,122,0,251,251,173,173,1,61,171,80,0,0,0,0,0,0,0,0,487,487,477,475,0.996,150,19,53,434,0
MA-517,146,125,125,1,115,31,0,24,68,78,0,115,94,94,1,0,0,21,62,53,0,31,31,31,31,1,3,6,25,.,0,0,0,0,0,0,0,128,128,128,122,0.953,39,18,43,85,0
MA-518,177,116,75,0.647,89,88,0,83,114,63,0,89,80,45,0.563,0,0,11,32,57,0,88,88,36,30,0.833,72,82,6,.,0,0,0,0,0,0,0,166,166,157,124,0.79,66,9,9,157,0
MA-519,269,241,241,1,193,76,0,56,217,52,0,193,181,181,1,0,0,36,163,30,0,76,76,60,60,1,20,54,22,0,0,0,0,0,0,0,0,82,82,82,82,1.0,24,8,28,54,0
MA-520,595,552,485,0.879,480,115,0,166,452,143,0,480,470,470,1,27,376,141,392,88,0,115,115,82,15,0.183,25,60,55,.,0,0,0,0,0,0,0,124,124,124,124,1.0,62,24,59,65,0
MD-500,111,91,53,0.582,60,51,0,26,86,25,0,60,40,2,0.05,10,54,11,37,23,0,51,51,51,51,1,15,49,2,.,0,0,0,0,0,0,0,110,110,110,110,1.0,16,23,72,38,0
MD-501,2210,2210,1635,0.74,874,1297,39,220,507,1703,0,874,874,654,0.748,85,182,67,157,717,0,1297,1297,1297,942,0.726,153,350,947,.,39,39,39,39,1,39,0,2088,2088,2088,1917,0.918,172,305,806,1282,0
MD-502,148,120,102,0.85,61,87,0,31,85,63,0,61,33,33,1,38,4,7,27,34,0,87,87,87,69,0.793,24,58,29,.,0,0,0,0,0,0,0,107,107,107,107,1.0,3,28,74,33,0
MD-503,245,224,224,1,147,98,0,62,173,72,0,147,126,126,1,60,52,37,91,56,0,98,98,98,98,1,25,82,16,.,0,0,0,0,0,0,0,184,184,184,184,1.0,57,32,92,92,0
MD-504,138,121,109,0.901,50,88,0,28,104,34,0,50,41,41,1,26,0,11,41,9,0,88,88,80,68,0.85,17,63,25,0,0,0,0,0,0,0,0,58,58,58,58,1.0,18,8,23,35,0
MD-505,498,448,448,1,407,91,0,35,263,235,0,407,378,378,1,46,0,19,210,197,0,91,91,70,70,1,16,53,38,.,0,0,0,0,0,0,0,482,482,482,257,0.533,261,120,330,152,0
MD-506,92,84,84,1,53,14,25,14,48,44,0,53,45,45,1,25,27,10,37,16,0,14,14,14,14,1,4,11,3,.,25,25,25,25,1,25,0,34,34,34,34,1.0,16,2,11,23,0
MD-507,205,155,55,0.355,125,80,0,32,82,123,0,125,103,55,0.534,35,0,24,54,71,0,80,80,52,.,.,8,28,52,.,0,0,0,0,0,0,0,108,108,108,0,0.0,12,6,18,90,0
MD-508,321,284,281,0.989,181,140,0,45,206,115,0,181,154,154,1,86,0,15,111,70,0,140,140,130,127,0.977,30,95,45,.,0,0,0,0,0,0,0,219,219,219,217,0.991,51,63,169,50,0
MD-509,210,144,142,0.986,41,169,0,49,154,56,0,41,12,10,0.833,70,0,8,31,10,0,169,169,132,132,1,41,123,46,.,0,0,0,0,0,0,0,41,41,41,41,1.0,22,5,11,30,0
MD-510,30,10,10,1,21,9,0,9,11,19,0,21,1,1,1,0,0,7,9,12,0,9,9,9,9,1,2,2,7,0,0,0,0,0,0,0,0,23,23,23,23,1.0,4,4,4,19,0
MD-511,47,47,42,0.894,10,37,0,10,27,20,0,10,10,10,1,71,4,0,0,10,0,37,37,37,32,0.865,10,27,10,0,0,0,0,0,0,0,0,112,112,112,112,1.0,4,27,81,31,0
MD-512,264,214,84,0.393,159,105,0,15,76,188,0,159,117,60,0.513,56,100,10,60,99,0,105,105,97,24,0.247,5,16,89,.,0,0,0,0,0,0,0,185,185,185,108,0.584,7,11,42,143,0
MD-513,188,181,153,0.845,137,51,0,31,95,93,0,137,130,102,0.785,56,7,19,53,84,0,51,51,51,51,1,12,42,9,.,0,0,0,0,0,0,0,152,152,152,152,1.0,25,31,77,75,0
MD-600,424,424,424,1,186,238,0,85,336,88,0,186,186,186,1,50,25,23,142,44,0,238,238,238,238,1,62,194,44,.,0,0,0,0,0,0,0,642,642,642,465,0.724,34,170,467,175,0
MD-601,638,572,572,1,274,324,40,102,340,298,0,274,220,220,1,100,267,45,146,128,0,324,324,312,312,1,57,194,130,.,40,40,40,40,1,40,0,1715,1715,1715,1663,0.97,190,351,1103,612,0
ME-500,2072,1739,1613,0.928,743,1329,0,428,1238,818,16,743,608,508,0.836,15,3,127,336,391,16,1329,1329,1131,1105,0.977,301,902,427,.,0,0,0,0,0,0,0,1623,1623,1593,1522,0.955,93,336,670,953,0
ME-502,603,589,589,1,346,242,15,61,189,413,1,346,332,332,1,0,0,29,106,239,1,242,242,242,242,1,32,83,159,.,15,15,15,15,1,15,0,452,452,452,452,1.0,86,57,119,333,0
MI-500,2550,1833,1784,0.973,1177,1373,0,573,1774,732,44,1177,592,551,0.931,20,12,239,726,414,37,1373,1373,1241,1233,0.994,334,1048,318,7,0,0,0,0,0,0,0,519,519,497,497,1.0,99,67,195,324,0
MI-501,3012,2877,2273,0.79,1633,1358,21,233,689,2323,0,1633,1566,1333,0.851,233,157,119,381,1252,0,1358,1358,1290,919,0.712,114,308,1050,.,21,21,21,21,1,21,0,1797,1797,1797,1563,0.87,149,276,712,1085,0
MI-502,481,367,367,1,152,313,16,93,354,119,8,152,96,96,1,30,2,26,138,6,8,313,313,255,255,1,67,216,97,.,16,16,16,16,1,16,0,254,254,254,254,1.0,45,66,178,76,0
MI-503,272,230,226,0.983,153,119,0,43,140,126,6,153,111,111,1,80,25,11,76,71,6,119,119,119,115,0.966,32,64,55,.,0,0,0,0,0,0,0,142,142,142,142,1.0,52,26,59,83,0
MI-504,392,346,298,0.861,101,291,0,83,210,182,0,101,55,55,1,157,0,30,67,34,0,291,291,291,243,0.835,53,143,148,.,0,0,0,0,0,0,0,534,534,534,513,0.961,106,83,227,307,0
MI-505,323,291,279,0.959,211,112,0,55,167,156,0,211,179,179,1,40,0,34,102,109,0,112,112,112,100,0.893,21,65,47,0,0,0,0,0,0,0,0,681,681,681,681,1.0,24,148,467,214,0
MI-506,782,584,554,0.949,315,467,0,148,543,239,0,315,253,253,1,0,54,39,112,203,0,467,467,331,301,0.909,109,431,36,.,0,0,0,0,0,0,0,645,645,645,594,0.921,290,90,203,442,0
MI-507,855,683,683,1,455,400,0,166,516,321,18,455,397,397,1,0,0,33,165,277,13,400,400,286,286,1,133,351,44,5,0,0,0,0,0,0,0,346,346,331,331,1.0,41,152,305,41,0
MI-508,450,420,360,0.857,332,118,0,33,130,311,9,332,302,242,0.801,0,16,25,89,239,4,118,118,118,118,1,8,41,72,5,0,0,0,0,0,0,0,257,257,257,176,0.685,92,24,62,195,0
MI-509,362,315,305,0.968,197,165,0,75,211,151,0,197,150,150,1,25,34,43,108,89,0,165,165,165,155,0.939,32,103,62,.,0,0,0,0,0,0,0,305,305,305,210,0.689,82,30,93,212,0
MI-510,367,259,259,1,163,198,6,47,155,197,15,163,139,139,1,0,5,18,74,79,10,198,198,114,114,1,29,81,112,5,6,6,6,6,1,6,0,647,647,621,620,0.998,129,141,426,221,0
MI-511,113,57,44,0.772,63,50,0,24,82,31,0,63,26,13,0.5,15,5,7,34,29,0,50,50,31,31,1,17,48,2,0,0,0,0,0,0,0,0,103,103,46,42,0.913,7,19,57,46,0
MI-512,256,153,116,0.758,116,140,0,44,134,98,24,116,94,88,0.936,28,27,12,37,70,9,140,140,59,28,0.475,32,97,28,15,0,0,0,0,0,0,0,198,198,175,171,0.977,21,45,114,84,0
MI-513,84,68,16,0.235,64,20,0,20,32,52,0,64,48,0,0,15,0,13,19,45,0,20,20,20,16,0.8,7,13,7,.,0,0,0,0,0,0,0,39,39,39,31,0.795,0,9,30,9,0
MI-514,240,194,127,0.655,182,58,0,27,89,151,0,182,136,73,0.537,0,0,21,71,111,0,58,58,58,54,0.931,6,18,40,.,0,0,0,0,0,0,0,205,205,184,19,0.103,0,9,25,180,0
MI-515,140,122,122,1,106,34,0,29,80,60,0,106,88,88,1,20,0,18,53,53,0,34,34,34,34,1,11,27,7,.,0,0,0,0,0,0,0,13,13,13,13,1.0,0,2,5,8,0
MI-516,275,228,218,0.956,149,126,0,18,150,125,0,149,130,120,0.923,21,3,7,101,48,0,126,126,98,98,1,11,49,77,0,0,0,0,0,0,0,0,424,424,424,388,0.915,28,69,215,209,0
MI-517,246,172,172,1,108,138,0,49,202,43,1,108,78,78,1,0,10,7,68,40,0,138,138,94,94,1,42,134,3,1,0,0,0,0,0,0,0,64,64,64,64,1.0,0,12,41,23,0
MI-518,99,48,48,1,47,52,0,60,99,0,0,47,27,27,1,12,0,30,47,0,0,52,52,21,21,1,30,52,.,.,0,0,0,0,0,0,0,22,22,22,12,0.545,4,12,12,10,0
MI-519,392,286,286,1,158,234,0,89,256,136,0,158,138,138,1,0,10,36,70,88,0,234,234,148,148,1,53,186,48,0,0,0,0,0,0,0,0,253,253,253,253,1.0,8,49,157,96,0
MI-523,136,106,106,1,56,80,0,29,131,5,0,56,45,45,1,0,2,15,54,2,0,80,80,61,61,1,14,77,3,.,0,0,0,0,0,0,0,10,10,10,10,1.0,4,1,4,6,0
MN-500,3108,2889,2116,0.732,1984,1124,0,709,2007,1101,0,1984,1790,1343,0.75,0,374,394,1180,804,0,1124,1124,1099,773,0.703,315,827,297,.,0,0,0,0,0,0,0,4487,4487,4451,2839,0.638,1343,630,2085,2396,6
MN-501,1221,1112,755,0.679,536,675,10,223,642,555,24,536,427,151,0.354,0,0,52,193,338,5,675,675,675,594,0.88,171,449,207,19,10,10,10,10,1,10,0,2106,2106,2106,2098,0.996,926,347,1146,951,9
MN-502,408,272,184,0.676,211,197,0,77,319,86,3,211,130,61,0.469,23,26,34,141,67,3,197,197,142,123,0.866,43,178,19,0,0,0,0,0,0,0,0,403,403,403,403,1.0,151,60,172,231,0
MN-503,662,531,432,0.814,259,403,0,171,492,170,0,259,128,66,0.516,0,24,50,171,88,0,403,403,403,366,0.908,121,321,82,0,0,0,0,0,0,0,0,558,558,558,451,0.808,77,120,325,233,0
MN-504,84,66,56,0.848,28,56,0,20,67,16,1,28,25,15,0.6,0,0,6,16,11,1,56,56,41,41,1,14,51,5,.,0,0,0,0,0,0,0,139,139,128,116,0.906,19,34,89,50,0
MN-505,457,372,257,0.691,187,270,0,148,291,166,0,187,112,107,0.955,50,0,52,142,45,0,270,270,260,150,0.577,96,149,121,.,0,0,0,0,0,0,0,322,322,322,287,0.891,20,89,198,124,0
MN-506,264,229,207,0.904,103,161,0,58,183,67,14,103,76,66,0.868,20,1,14,58,35,10,161,161,153,141,0.922,44,125,32,4,0,0,0,0,0,0,0,366,366,366,317,0.866,27,86,293,73,0
MN-508,177,146,135,0.925,103,74,0,36,96,81,0,103,72,72,1,0,43,14,40,63,0,74,74,74,63,0.851,22,56,18,0,0,0,0,0,0,0,0,358,358,358,356,0.994,49,81,249,109,0
MN-509,398,349,281,0.805,153,245,0,93,266,120,12,153,104,36,0.346,0,0,23,61,80,12,245,245,245,245,1,70,205,40,0,0,0,0,0,0,0,0,579,579,579,579,1.0,282,92,265,312,2
MN-511,100,87,72,0.828,33,67,0,27,65,35,0,33,20,17,0.85,0,6,9,23,10,0,67,67,67,55,0.821,18,42,25,.,0,0,0,0,0,0,0,141,141,141,114,0.809,39,33,101,40,0
MO-500,495,456,409,0.897,152,343,0,99,407,88,0,152,113,113,1,0,0,25,152,0,0,343,343,343,296,0.863,74,255,88,.,0,0,0,0,0,0,0,197,197,197,189,0.959,45,78,158,39,0
MO-501,1454,1305,984,0.754,686,749,19,261,649,801,4,686,627,325,0.518,31,34,126,239,447,0,749,749,659,659,1,135,410,335,4,19,19,19,0,0,19,0,1403,1403,1403,1327,0.946,240,204,723,680,0
MO-503,379,331,99,0.299,114,265,0,89,273,98,8,114,66,54,0.818,0,137,23,81,27,6,265,265,265,45,0.17,66,192,71,2,0,0,0,0,0,0,0,58,58,58,40,0.69,2,7,26,32,0
MO-600,619,468,339,0.724,197,422,0,133,385,234,0,197,116,77,0.664,80,0,41,97,100,0,422,422,352,262,0.744,92,288,134,.,0,0,0,0,0,0,0,103,103,103,72,0.699,35,32,49,54,0
MO-602,978,924,348,0.377,673,305,0,428,546,432,0,673,673,97,0.144,0,834,400,434,239,0,305,305,251,251,1,28,112,193,.,0,0,0,0,0,0,0,131,131,131,94,0.718,6,26,91,40,0
MO-603,146,83,83,1,95,33,18,16,58,88,0,95,50,50,1,25,10,12,45,50,0,33,33,15,15,1,4,13,20,0,18,18,18,18,1,18,0,191,191,191,191,1.0,31,39,130,61,0
MO-604,1857,1496,1306,0.873,1049,798,10,324,945,894,18,1049,763,624,0.818,16,102,139,443,592,14,798,798,723,672,0.929,185,502,292,4,10,10,10,10,1,10,0,1337,1337,1337,1148,0.859,178,597,763,574,0
MO-606,2325,1343,563,0.419,1522,795,8,299,853,1407,65,1522,596,300,0.503,38,48,208,598,859,65,795,795,739,255,0.345,91,255,540,.,8,8,8,8,1,8,0,1028,1028,1028,870,0.846,66,191,520,508,0
